Video,Type,Frames_Analyzed,GT_Objects,Pred_Objects,Matches,IoU_Score,Dice_Score
LapChol Case 0002 02.mp4,safe,16,16,24,16,0.09921613192634882,0.17233829075846
LapChol Case 0001 04.mp4,safe,32,32,56,32,0.05691339998187747,0.10093190946323236
V10-Trimmed.mp4,bdi,0,0,0,0,0.0,0.0
V4_Trimmed.mp4,bdi,0,0,0,0,0.0,0.0
LapChol Case 0015 01.mp4,safe,0,0,0,0,0.0,0.0
LapChol Case 0007 02.mp4,safe,29,29,43,29,0.07362534696257123,0.13316016879795173
V12-Trimmed.mp4,bdi,0,0,0,0,0.0,0.0
V7-Trimmed.mp4,bdi,18,18,27,18,0.07075880865805054,0.12690910699226515
LapChol Case 0011 03.mp4,safe,0,0,0,0,0.0,0.0
LapChol Case 0011 02.mp4,safe,0,0,0,0,0.0,0.0
LapChol Case 0007 03.mp4,safe,35,35,45,35,0.11376842832566217,0.19751685852687306
V2_Trimmed.mp4,bdi,16,16,22,16,0.11676011791310589,0.19830727094891332
LapChol Case 0001 05.mp4,safe,62,62,90,62,0.08759188394596959,0.14610833126473258
LapChol Case 0001 03.mp4,safe,32,32,43,32,0.18696227492294426,0.306218340920387
LapChol Case 0007 01.mp4,safe,37,37,52,37,0.0539404459966423,0.09566379029709499
LapChol Case 0015 02.mp4,safe,0,0,0,0,0.0,0.0
LapChol Case 0002 03.mp4,safe,28,28,40,28,0.05603809457995064,0.10182500696429678
