video,threshold,precision,recall,f1,tp,fp,fn
LapChol Case 0001 03,0.05,0.14814814814814814,1.0,0.25806451612903225,4,23,0
LapChol Case 0001 03,0.1,0.14814814814814814,1.0,0.25806451612903225,4,23,0
LapChol Case 0001 03,0.15,0.14814814814814814,1.0,0.25806451612903225,4,23,0
LapChol Case 0001 03,0.2,0.11538461538461539,0.75,0.19999999999999998,3,23,1
LapChol Case 0001 03,0.25,0.11538461538461539,0.75,0.19999999999999998,3,23,1
LapChol Case 0001 03,0.3,0.11538461538461539,0.75,0.19999999999999998,3,23,1
LapChol Case 0001 03,0.35,0.11538461538461539,0.75,0.19999999999999998,3,23,1
LapChol Case 0001 03,0.4,0.11538461538461539,0.75,0.19999999999999998,3,23,1
LapChol Case 0001 03,0.45,0.08,0.5,0.13793103448275865,2,23,2
LapChol Case 0001 03,0.5,0.08,0.5,0.13793103448275865,2,23,2
LapChol Case 0001 03,0.55,0.08,0.5,0.13793103448275865,2,23,2
LapChol Case 0001 03,0.6,0.041666666666666664,0.25,0.07142857142857142,1,23,3
LapChol Case 0001 03,0.65,0.0,0.0,0.0,0,23,4
LapChol Case 0001 03,0.7,0.0,0.0,0.0,0,23,4
LapChol Case 0001 03,0.75,0.0,0.0,0.0,0,23,4
LapChol Case 0001 03,0.8,0.0,0.0,0.0,0,23,4
LapChol Case 0001 03,0.85,0.0,0.0,0.0,0,23,4
LapChol Case 0001 03,0.9,0.0,0.0,0.0,0,23,4
LapChol Case 0001 03,0.95,0.0,0.0,0.0,0,23,4
LapChol Case 0001 03,1.0,0.0,0.0,0.0,0,23,4
LapChol Case 0001 04,0.05,0.023121387283236993,1.0,0.04519774011299435,8,338,0
LapChol Case 0001 04,0.1,0.023121387283236993,1.0,0.04519774011299435,8,338,0
LapChol Case 0001 04,0.15,0.023121387283236993,1.0,0.04519774011299435,8,338,0
LapChol Case 0001 04,0.2,0.023121387283236993,1.0,0.04519774011299435,8,338,0
LapChol Case 0001 04,0.25,0.023121387283236993,1.0,0.04519774011299435,8,338,0
LapChol Case 0001 04,0.3,0.020289855072463767,0.875,0.03966005665722379,7,338,1
LapChol Case 0001 04,0.35,0.020289855072463767,0.875,0.03966005665722379,7,338,1
LapChol Case 0001 04,0.4,0.020289855072463767,0.875,0.03966005665722379,7,338,1
LapChol Case 0001 04,0.45,0.020289855072463767,0.875,0.03966005665722379,7,338,1
LapChol Case 0001 04,0.5,0.01744186046511628,0.75,0.03409090909090909,6,338,2
LapChol Case 0001 04,0.55,0.01744186046511628,0.75,0.03409090909090909,6,338,2
LapChol Case 0001 04,0.6,0.01744186046511628,0.75,0.03409090909090909,6,338,2
LapChol Case 0001 04,0.65,0.014577259475218658,0.625,0.028490028490028484,5,338,3
LapChol Case 0001 04,0.7,0.014577259475218658,0.625,0.028490028490028484,5,338,3
LapChol Case 0001 04,0.75,0.011695906432748537,0.5,0.022857142857142857,4,338,4
LapChol Case 0001 04,0.8,0.0058823529411764705,0.25,0.01149425287356322,2,338,6
LapChol Case 0001 04,0.85,0.0029498525073746312,0.125,0.005763688760806917,1,338,7
LapChol Case 0001 04,0.9,0.0,0.0,0.0,0,338,8
LapChol Case 0001 04,0.95,0.0,0.0,0.0,0,338,8
LapChol Case 0001 04,1.0,0.0,0.0,0.0,0,338,8
LapChol Case 0001 05,0.05,1.0,1.0,1.0,1,0,0
LapChol Case 0001 05,0.1,1.0,1.0,1.0,1,0,0
LapChol Case 0001 05,0.15,1.0,1.0,1.0,1,0,0
LapChol Case 0001 05,0.2,1.0,1.0,1.0,1,0,0
LapChol Case 0001 05,0.25,1.0,1.0,1.0,1,0,0
LapChol Case 0001 05,0.3,1.0,1.0,1.0,1,0,0
LapChol Case 0001 05,0.35,1.0,1.0,1.0,1,0,0
LapChol Case 0001 05,0.4,1.0,1.0,1.0,1,0,0
LapChol Case 0001 05,0.45,1.0,1.0,1.0,1,0,0
LapChol Case 0001 05,0.5,1.0,1.0,1.0,1,0,0
LapChol Case 0001 05,0.55,1.0,1.0,1.0,1,0,0
LapChol Case 0001 05,0.6,0.0,0.0,0.0,0,0,1
LapChol Case 0001 05,0.65,0.0,0.0,0.0,0,0,1
LapChol Case 0001 05,0.7,0.0,0.0,0.0,0,0,1
LapChol Case 0001 05,0.75,0.0,0.0,0.0,0,0,1
LapChol Case 0001 05,0.8,0.0,0.0,0.0,0,0,1
LapChol Case 0001 05,0.85,0.0,0.0,0.0,0,0,1
LapChol Case 0001 05,0.9,0.0,0.0,0.0,0,0,1
LapChol Case 0001 05,0.95,0.0,0.0,0.0,0,0,1
LapChol Case 0001 05,1.0,0.0,0.0,0.0,0,0,1
LapChol Case 0002 02,0.05,0.16666666666666666,1.0,0.2857142857142857,1,5,0
LapChol Case 0002 02,0.1,0.16666666666666666,1.0,0.2857142857142857,1,5,0
LapChol Case 0002 02,0.15,0.16666666666666666,1.0,0.2857142857142857,1,5,0
LapChol Case 0002 02,0.2,0.16666666666666666,1.0,0.2857142857142857,1,5,0
LapChol Case 0002 02,0.25,0.16666666666666666,1.0,0.2857142857142857,1,5,0
LapChol Case 0002 02,0.3,0.16666666666666666,1.0,0.2857142857142857,1,5,0
LapChol Case 0002 02,0.35,0.0,0.0,0.0,0,5,1
LapChol Case 0002 02,0.4,0.0,0.0,0.0,0,5,1
LapChol Case 0002 02,0.45,0.0,0.0,0.0,0,5,1
LapChol Case 0002 02,0.5,0.0,0.0,0.0,0,5,1
LapChol Case 0002 02,0.55,0.0,0.0,0.0,0,5,1
LapChol Case 0002 02,0.6,0.0,0.0,0.0,0,5,1
LapChol Case 0002 02,0.65,0.0,0.0,0.0,0,5,1
LapChol Case 0002 02,0.7,0.0,0.0,0.0,0,5,1
LapChol Case 0002 02,0.75,0.0,0.0,0.0,0,5,1
LapChol Case 0002 02,0.8,0.0,0.0,0.0,0,5,1
LapChol Case 0002 02,0.85,0.0,0.0,0.0,0,5,1
LapChol Case 0002 02,0.9,0.0,0.0,0.0,0,5,1
LapChol Case 0002 02,0.95,0.0,0.0,0.0,0,5,1
LapChol Case 0002 02,1.0,0.0,0.0,0.0,0,5,1
LapChol Case 0002 03,0.05,0.5,1.0,0.6666666666666666,6,6,0
LapChol Case 0002 03,0.1,0.5,1.0,0.6666666666666666,6,6,0
LapChol Case 0002 03,0.15,0.5,1.0,0.6666666666666666,6,6,0
LapChol Case 0002 03,0.2,0.45454545454545453,0.8333333333333334,0.5882352941176471,5,6,1
LapChol Case 0002 03,0.25,0.45454545454545453,0.8333333333333334,0.5882352941176471,5,6,1
LapChol Case 0002 03,0.3,0.45454545454545453,0.8333333333333334,0.5882352941176471,5,6,1
LapChol Case 0002 03,0.35,0.45454545454545453,0.8333333333333334,0.5882352941176471,5,6,1
LapChol Case 0002 03,0.4,0.45454545454545453,0.8333333333333334,0.5882352941176471,5,6,1
LapChol Case 0002 03,0.45,0.45454545454545453,0.8333333333333334,0.5882352941176471,5,6,1
LapChol Case 0002 03,0.5,0.45454545454545453,0.8333333333333334,0.5882352941176471,5,6,1
LapChol Case 0002 03,0.55,0.45454545454545453,0.8333333333333334,0.5882352941176471,5,6,1
LapChol Case 0002 03,0.6,0.45454545454545453,0.8333333333333334,0.5882352941176471,5,6,1
LapChol Case 0002 03,0.65,0.3333333333333333,0.5,0.4,3,6,3
LapChol Case 0002 03,0.7,0.25,0.3333333333333333,0.28571428571428575,2,6,4
LapChol Case 0002 03,0.75,0.25,0.3333333333333333,0.28571428571428575,2,6,4
LapChol Case 0002 03,0.8,0.14285714285714285,0.16666666666666666,0.15384615384615383,1,6,5
LapChol Case 0002 03,0.85,0.14285714285714285,0.16666666666666666,0.15384615384615383,1,6,5
LapChol Case 0002 03,0.9,0.0,0.0,0.0,0,6,6
LapChol Case 0002 03,0.95,0.0,0.0,0.0,0,6,6
LapChol Case 0002 03,1.0,0.0,0.0,0.0,0,6,6
LapChol Case 0007 01,0.05,0.06666666666666667,1.0,0.125,1,14,0
LapChol Case 0007 01,0.1,0.06666666666666667,1.0,0.125,1,14,0
LapChol Case 0007 01,0.15,0.06666666666666667,1.0,0.125,1,14,0
LapChol Case 0007 01,0.2,0.06666666666666667,1.0,0.125,1,14,0
LapChol Case 0007 01,0.25,0.06666666666666667,1.0,0.125,1,14,0
LapChol Case 0007 01,0.3,0.06666666666666667,1.0,0.125,1,14,0
LapChol Case 0007 01,0.35,0.06666666666666667,1.0,0.125,1,14,0
LapChol Case 0007 01,0.4,0.06666666666666667,1.0,0.125,1,14,0
LapChol Case 0007 01,0.45,0.06666666666666667,1.0,0.125,1,14,0
LapChol Case 0007 01,0.5,0.06666666666666667,1.0,0.125,1,14,0
LapChol Case 0007 01,0.55,0.06666666666666667,1.0,0.125,1,14,0
LapChol Case 0007 01,0.6,0.0,0.0,0.0,0,14,1
LapChol Case 0007 01,0.65,0.0,0.0,0.0,0,14,1
LapChol Case 0007 01,0.7,0.0,0.0,0.0,0,14,1
LapChol Case 0007 01,0.75,0.0,0.0,0.0,0,14,1
LapChol Case 0007 01,0.8,0.0,0.0,0.0,0,14,1
LapChol Case 0007 01,0.85,0.0,0.0,0.0,0,14,1
LapChol Case 0007 01,0.9,0.0,0.0,0.0,0,14,1
LapChol Case 0007 01,0.95,0.0,0.0,0.0,0,14,1
LapChol Case 0007 01,1.0,0.0,0.0,0.0,0,14,1
LapChol Case 0007 02,0.05,0.11155378486055777,1.0,0.2007168458781362,28,223,0
LapChol Case 0007 02,0.1,0.11155378486055777,1.0,0.2007168458781362,28,223,0
LapChol Case 0007 02,0.15,0.11155378486055777,1.0,0.2007168458781362,28,223,0
LapChol Case 0007 02,0.2,0.108,0.9642857142857143,0.19424460431654678,27,223,1
LapChol Case 0007 02,0.25,0.10441767068273092,0.9285714285714286,0.18772563176895307,26,223,2
LapChol Case 0007 02,0.3,0.10441767068273092,0.9285714285714286,0.18772563176895307,26,223,2
LapChol Case 0007 02,0.35,0.09349593495934959,0.8214285714285714,0.1678832116788321,23,223,5
LapChol Case 0007 02,0.4,0.0860655737704918,0.75,0.15441176470588236,21,223,7
LapChol Case 0007 02,0.45,0.0823045267489712,0.7142857142857143,0.14760147601476015,20,223,8
LapChol Case 0007 02,0.5,0.07851239669421488,0.6785714285714286,0.14074074074074075,19,223,9
LapChol Case 0007 02,0.55,0.07468879668049792,0.6428571428571429,0.1338289962825279,18,223,10
LapChol Case 0007 02,0.6,0.07083333333333333,0.6071428571428571,0.12686567164179105,17,223,11
LapChol Case 0007 02,0.65,0.06302521008403361,0.5357142857142857,0.11278195488721802,15,223,13
LapChol Case 0007 02,0.7,0.03879310344827586,0.32142857142857145,0.06923076923076923,9,223,19
LapChol Case 0007 02,0.75,0.03879310344827586,0.32142857142857145,0.06923076923076923,9,223,19
LapChol Case 0007 02,0.8,0.01327433628318584,0.10714285714285714,0.023622047244094484,3,223,25
LapChol Case 0007 02,0.85,0.01327433628318584,0.10714285714285714,0.023622047244094484,3,223,25
LapChol Case 0007 02,0.9,0.008888888888888889,0.07142857142857142,0.015810276679841896,2,223,26
LapChol Case 0007 02,0.95,0.004464285714285714,0.03571428571428571,0.007936507936507936,1,223,27
LapChol Case 0007 02,1.0,0.0,0.0,0.0,0,223,28
LapChol Case 0007 03,0.05,0.07142857142857142,1.0,0.13333333333333333,1,13,0
LapChol Case 0007 03,0.1,0.07142857142857142,1.0,0.13333333333333333,1,13,0
LapChol Case 0007 03,0.15,0.07142857142857142,1.0,0.13333333333333333,1,13,0
LapChol Case 0007 03,0.2,0.07142857142857142,1.0,0.13333333333333333,1,13,0
LapChol Case 0007 03,0.25,0.07142857142857142,1.0,0.13333333333333333,1,13,0
LapChol Case 0007 03,0.3,0.07142857142857142,1.0,0.13333333333333333,1,13,0
LapChol Case 0007 03,0.35,0.07142857142857142,1.0,0.13333333333333333,1,13,0
LapChol Case 0007 03,0.4,0.07142857142857142,1.0,0.13333333333333333,1,13,0
LapChol Case 0007 03,0.45,0.0,0.0,0.0,0,13,1
LapChol Case 0007 03,0.5,0.0,0.0,0.0,0,13,1
LapChol Case 0007 03,0.55,0.0,0.0,0.0,0,13,1
LapChol Case 0007 03,0.6,0.0,0.0,0.0,0,13,1
LapChol Case 0007 03,0.65,0.0,0.0,0.0,0,13,1
LapChol Case 0007 03,0.7,0.0,0.0,0.0,0,13,1
LapChol Case 0007 03,0.75,0.0,0.0,0.0,0,13,1
LapChol Case 0007 03,0.8,0.0,0.0,0.0,0,13,1
LapChol Case 0007 03,0.85,0.0,0.0,0.0,0,13,1
LapChol Case 0007 03,0.9,0.0,0.0,0.0,0,13,1
LapChol Case 0007 03,0.95,0.0,0.0,0.0,0,13,1
LapChol Case 0007 03,1.0,0.0,0.0,0.0,0,13,1
LapChol Case 0012 03,0.05,0.23809523809523808,1.0,0.3846153846153846,5,16,0
LapChol Case 0012 03,0.1,0.23809523809523808,1.0,0.3846153846153846,5,16,0
LapChol Case 0012 03,0.15,0.23809523809523808,1.0,0.3846153846153846,5,16,0
LapChol Case 0012 03,0.2,0.23809523809523808,1.0,0.3846153846153846,5,16,0
LapChol Case 0012 03,0.25,0.23809523809523808,1.0,0.3846153846153846,5,16,0
LapChol Case 0012 03,0.3,0.23809523809523808,1.0,0.3846153846153846,5,16,0
LapChol Case 0012 03,0.35,0.23809523809523808,1.0,0.3846153846153846,5,16,0
LapChol Case 0012 03,0.4,0.23809523809523808,1.0,0.3846153846153846,5,16,0
LapChol Case 0012 03,0.45,0.23809523809523808,1.0,0.3846153846153846,5,16,0
LapChol Case 0012 03,0.5,0.23809523809523808,1.0,0.3846153846153846,5,16,0
LapChol Case 0012 03,0.55,0.2,0.8,0.32000000000000006,4,16,1
LapChol Case 0012 03,0.6,0.1111111111111111,0.4,0.1739130434782609,2,16,3
LapChol Case 0012 03,0.65,0.1111111111111111,0.4,0.1739130434782609,2,16,3
LapChol Case 0012 03,0.7,0.1111111111111111,0.4,0.1739130434782609,2,16,3
LapChol Case 0012 03,0.75,0.1111111111111111,0.4,0.1739130434782609,2,16,3
LapChol Case 0012 03,0.8,0.1111111111111111,0.4,0.1739130434782609,2,16,3
LapChol Case 0012 03,0.85,0.058823529411764705,0.2,0.0909090909090909,1,16,4
LapChol Case 0012 03,0.9,0.0,0.0,0.0,0,16,5
LapChol Case 0012 03,0.95,0.0,0.0,0.0,0,16,5
LapChol Case 0012 03,1.0,0.0,0.0,0.0,0,16,5
LapChol Case 0012 04,0.05,0.09230769230769231,0.96,0.16842105263157894,24,236,1
LapChol Case 0012 04,0.1,0.0888030888030888,0.92,0.1619718309859155,23,236,2
LapChol Case 0012 04,0.15,0.08527131782945736,0.88,0.15547703180212014,22,236,3
LapChol Case 0012 04,0.2,0.08527131782945736,0.88,0.15547703180212014,22,236,3
LapChol Case 0012 04,0.25,0.08171206225680934,0.84,0.14893617021276595,21,236,4
LapChol Case 0012 04,0.3,0.07450980392156863,0.76,0.13571428571428573,19,236,6
LapChol Case 0012 04,0.35,0.07086614173228346,0.72,0.12903225806451613,18,236,7
LapChol Case 0012 04,0.4,0.06349206349206349,0.64,0.11552346570397112,16,236,9
LapChol Case 0012 04,0.45,0.05976095617529881,0.6,0.10869565217391304,15,236,10
LapChol Case 0012 04,0.5,0.056,0.56,0.10181818181818182,14,236,11
LapChol Case 0012 04,0.55,0.04838709677419355,0.48,0.08791208791208792,12,236,13
LapChol Case 0012 04,0.6,0.044534412955465584,0.44,0.08088235294117646,11,236,14
LapChol Case 0012 04,0.65,0.04065040650406504,0.4,0.07380073800738007,10,236,15
LapChol Case 0012 04,0.7,0.036734693877551024,0.36,0.06666666666666668,9,236,16
LapChol Case 0012 04,0.75,0.036734693877551024,0.36,0.06666666666666668,9,236,16
LapChol Case 0012 04,0.8,0.03278688524590164,0.32,0.05947955390334573,8,236,17
LapChol Case 0012 04,0.85,0.02880658436213992,0.28,0.05223880597014926,7,236,18
LapChol Case 0012 04,0.9,0.016666666666666666,0.16,0.03018867924528302,4,236,21
LapChol Case 0012 04,0.95,0.004219409282700422,0.04,0.007633587786259542,1,236,24
LapChol Case 0012 04,1.0,0.0,0.0,0.0,0,236,25
LapChol Case 0016 01,0.05,0.15,1.0,0.2608695652173913,6,34,0
LapChol Case 0016 01,0.1,0.15,1.0,0.2608695652173913,6,34,0
LapChol Case 0016 01,0.15,0.15,1.0,0.2608695652173913,6,34,0
LapChol Case 0016 01,0.2,0.15,1.0,0.2608695652173913,6,34,0
LapChol Case 0016 01,0.25,0.15,1.0,0.2608695652173913,6,34,0
LapChol Case 0016 01,0.3,0.15,1.0,0.2608695652173913,6,34,0
LapChol Case 0016 01,0.35,0.15,1.0,0.2608695652173913,6,34,0
LapChol Case 0016 01,0.4,0.1282051282051282,0.8333333333333334,0.2222222222222222,5,34,1
LapChol Case 0016 01,0.45,0.1282051282051282,0.8333333333333334,0.2222222222222222,5,34,1
LapChol Case 0016 01,0.5,0.10526315789473684,0.6666666666666666,0.18181818181818182,4,34,2
LapChol Case 0016 01,0.55,0.10526315789473684,0.6666666666666666,0.18181818181818182,4,34,2
LapChol Case 0016 01,0.6,0.10526315789473684,0.6666666666666666,0.18181818181818182,4,34,2
LapChol Case 0016 01,0.65,0.10526315789473684,0.6666666666666666,0.18181818181818182,4,34,2
LapChol Case 0016 01,0.7,0.10526315789473684,0.6666666666666666,0.18181818181818182,4,34,2
LapChol Case 0016 01,0.75,0.10526315789473684,0.6666666666666666,0.18181818181818182,4,34,2
LapChol Case 0016 01,0.8,0.10526315789473684,0.6666666666666666,0.18181818181818182,4,34,2
LapChol Case 0016 01,0.85,0.05555555555555555,0.3333333333333333,0.09523809523809525,2,34,4
LapChol Case 0016 01,0.9,0.02857142857142857,0.16666666666666666,0.048780487804878044,1,34,5
LapChol Case 0016 01,0.95,0.02857142857142857,0.16666666666666666,0.048780487804878044,1,34,5
LapChol Case 0016 01,1.0,0.0,0.0,0.0,0,34,6
LapChol Case 0018 10,0.05,1.0,1.0,1.0,1,0,0
LapChol Case 0018 10,0.1,1.0,1.0,1.0,1,0,0
LapChol Case 0018 10,0.15,1.0,1.0,1.0,1,0,0
LapChol Case 0018 10,0.2,1.0,1.0,1.0,1,0,0
LapChol Case 0018 10,0.25,1.0,1.0,1.0,1,0,0
LapChol Case 0018 10,0.3,1.0,1.0,1.0,1,0,0
LapChol Case 0018 10,0.35,1.0,1.0,1.0,1,0,0
LapChol Case 0018 10,0.4,1.0,1.0,1.0,1,0,0
LapChol Case 0018 10,0.45,0.0,0.0,0.0,0,0,1
LapChol Case 0018 10,0.5,0.0,0.0,0.0,0,0,1
LapChol Case 0018 10,0.55,0.0,0.0,0.0,0,0,1
LapChol Case 0018 10,0.6,0.0,0.0,0.0,0,0,1
LapChol Case 0018 10,0.65,0.0,0.0,0.0,0,0,1
LapChol Case 0018 10,0.7,0.0,0.0,0.0,0,0,1
LapChol Case 0018 10,0.75,0.0,0.0,0.0,0,0,1
LapChol Case 0018 10,0.8,0.0,0.0,0.0,0,0,1
LapChol Case 0018 10,0.85,0.0,0.0,0.0,0,0,1
LapChol Case 0018 10,0.9,0.0,0.0,0.0,0,0,1
LapChol Case 0018 10,0.95,0.0,0.0,0.0,0,0,1
LapChol Case 0018 10,1.0,0.0,0.0,0.0,0,0,1
LapChol Case 0018 11,0.05,0.5,1.0,0.6666666666666666,2,2,0
LapChol Case 0018 11,0.1,0.5,1.0,0.6666666666666666,2,2,0
LapChol Case 0018 11,0.15,0.5,1.0,0.6666666666666666,2,2,0
LapChol Case 0018 11,0.2,0.5,1.0,0.6666666666666666,2,2,0
LapChol Case 0018 11,0.25,0.5,1.0,0.6666666666666666,2,2,0
LapChol Case 0018 11,0.3,0.3333333333333333,0.5,0.4,1,2,1
LapChol Case 0018 11,0.35,0.3333333333333333,0.5,0.4,1,2,1
LapChol Case 0018 11,0.4,0.0,0.0,0.0,0,2,2
LapChol Case 0018 11,0.45,0.0,0.0,0.0,0,2,2
LapChol Case 0018 11,0.5,0.0,0.0,0.0,0,2,2
LapChol Case 0018 11,0.55,0.0,0.0,0.0,0,2,2
LapChol Case 0018 11,0.6,0.0,0.0,0.0,0,2,2
LapChol Case 0018 11,0.65,0.0,0.0,0.0,0,2,2
LapChol Case 0018 11,0.7,0.0,0.0,0.0,0,2,2
LapChol Case 0018 11,0.75,0.0,0.0,0.0,0,2,2
LapChol Case 0018 11,0.8,0.0,0.0,0.0,0,2,2
LapChol Case 0018 11,0.85,0.0,0.0,0.0,0,2,2
LapChol Case 0018 11,0.9,0.0,0.0,0.0,0,2,2
LapChol Case 0018 11,0.95,0.0,0.0,0.0,0,2,2
LapChol Case 0018 11,1.0,0.0,0.0,0.0,0,2,2
