video,frame,case,tp,fp,fn,tn,iou,dice,gt_area,pred_area
LapChol Case 0001 03,0,TP,28689,0,91062,880249,0.2395721121326753,0.38654001616814876,119751,28689
LapChol Case 0001 03,102,TN,0,30003,53912,916085,0.0,0.0,53912,30003
LapChol Case 0001 03,470,TN,0,26000,18768,955232,0.0,0.0,18768,26000
LapChol Case 0001 03,497,TP,0,18871,10507,970622,0.0,0.0,10507,18871
LapChol Case 0001 03,634,TN,0,19046,39032,941922,0.0,0.0,39032,19046
LapChol Case 0001 03,659,TP,13299,18701,9711,958289,0.318836757689818,0.48351208871114343,23010,32000
LapChol Case 0001 03,808,TP,136,13436,28844,957584,0.003206337231233497,0.006392178981011468,28980,13572
LapChol Case 0001 03,3121,TP,0,18683,46492,934825,0.0,0.0,46492,18683
LapChol Case 0001 03,3205,TP,11826,0,17387,970787,0.40481977201930647,0.5763298325982602,29213,11826
LapChol Case 0001 03,3401,TP,10935,0,22154,966911,0.33047236241651307,0.4967744866436489,33089,10935
LapChol Case 0001 03,4150,TP,26522,178,40888,932412,0.3924069361425105,0.5636382956115185,67410,26700
LapChol Case 0001 03,4554,TN,6993,5855,14931,972221,0.2517369235753627,0.40222017715403197,21924,12848
LapChol Case 0001 03,5026,TP,10788,2790,26178,960244,0.2713552671294899,0.42687559354226023,36966,13578
LapChol Case 0001 03,5157,TP,11500,250,31340,956910,0.2668832675794848,0.421322586554314,42840,11750
LapChol Case 0001 03,5432,TN,7590,15791,9305,967314,0.2322095086581411,0.37689939418015694,16895,23381
LapChol Case 0001 03,5489,TP,0,11826,44103,944071,0.0,0.0,44103,11826
LapChol Case 0001 03,5516,TN,13206,372,23034,963388,0.36070140937397577,0.5301698181380224,36240,13578
LapChol Case 0001 03,5548,TP,10200,15604,22419,951777,0.21151732575741866,0.3491775499375246,32619,25804
LapChol Case 0001 03,6055,TP,7946,17796,45404,928854,0.11168582914007814,0.20093056187730743,53350,25742
LapChol Case 0001 03,6212,TN,0,13500,39176,947324,0.0,0.0,39176,13500
LapChol Case 0001 03,6516,TP,16554,14786,47906,920754,0.2088938242939707,0.34559498956158663,64460,31340
LapChol Case 0001 03,7051,TP,10125,0,20619,969256,0.32933255269320844,0.49548557586434705,30744,10125
LapChol Case 0001 03,7384,TP,0,15334,44772,939894,0.0,0.0,44772,15334
LapChol Case 0001 03,7902,TP,0,14418,32400,953182,0.0,0.0,32400,14418
LapChol Case 0001 03,8679,TP,5024,23472,11439,960065,0.1258044322023288,0.22349251540292267,16463,28496
LapChol Case 0001 03,8785,TP,0,35750,37584,926666,0.0,0.0,37584,35750
LapChol Case 0001 03,8850,TP,13578,33293,9238,943891,0.2419932631128696,0.3896853071591545,22816,46871
LapChol Case 0001 03,9545,TP,11016,17926,64935,906123,0.11734503659043216,0.2100426148551381,75951,28942
LapChol Case 0001 04,0,TP,37570,33061,0,929369,0.5319194121561354,0.6944482953022615,37570,70631
LapChol Case 0001 04,3,TP,12684,61097,12162,914057,0.14758619084742214,0.2572115140884342,24846,73781
LapChol Case 0001 04,188,TP,12862,10322,0,976816,0.5547791580400276,0.7136436775231648,12862,23184
LapChol Case 0001 04,300,TP,6912,63103,5292,924693,0.09178429628055824,0.16813631885573893,12204,70015
LapChol Case 0001 04,1273,TP,0,11972,3139,984889,0.0,0.0,3139,11972
LapChol Case 0001 04,1491,TN,5264,5671,94,988971,0.47728715205367667,0.6461670656109986,5358,10935
LapChol Case 0001 04,1727,TP,0,9750,5642,984608,0.0,0.0,5642,9750
LapChol Case 0001 04,1815,TP,0,18543,4897,976560,0.0,0.0,4897,18543
LapChol Case 0001 04,3621,TN,0,12784,5859,981357,0.0,0.0,5859,12784
LapChol Case 0001 04,6013,TN,330,7935,7502,984233,0.02092979006786326,0.04100142883767162,7832,8265
LapChol Case 0001 04,6329,TP,7488,2637,5874,984001,0.4680292518282393,0.6376293268616682,13362,10125
LapChol Case 0001 04,6382,TN,6633,2763,1782,988822,0.5933977455716586,0.7448206164729662,8415,9396
LapChol Case 0001 04,7240,TP,6363,606,2757,990274,0.6542257865515114,0.7909752004475107,9120,6969
LapChol Case 0001 04,7543,TP,6800,46385,100,946715,0.12761565168433894,0.2263460098194225,6900,53185
LapChol Case 0001 04,7664,TP,6240,42960,96,950704,0.12658227848101267,0.2247191011235955,6336,49200
LapChol Case 0001 04,7747,TN,11808,4543,3600,980049,0.5918500325798206,0.7436002393022451,15408,16351
LapChol Case 0001 04,7774,TP,5643,2907,513,990937,0.6226415094339622,0.7674418604651163,6156,8550
LapChol Case 0001 04,7823,TN,14651,8707,1771,974871,0.5830315571650284,0.7366013071895425,16422,23358
LapChol Case 0001 04,7848,TP,0,40250,5124,954626,0.0,0.0,5124,40250
LapChol Case 0001 04,7911,TP,0,40391,4503,955106,0.0,0.0,4503,40391
LapChol Case 0001 04,8013,TP,5696,3679,0,990625,0.6075733333333333,0.7558887930462478,5696,9375
LapChol Case 0001 04,8088,TN,6201,9497,0,984302,0.395018473690916,0.566327229553861,6201,15698
LapChol Case 0001 04,8140,TP,5162,4213,0,990625,0.5506133333333333,0.7101877966568068,5162,9375
LapChol Case 0001 04,8304,TN,0,36150,10318,953532,0.0,0.0,10318,36150
LapChol Case 0001 04,8334,TP,0,40750,5695,953555,0.0,0.0,5695,40750
LapChol Case 0001 04,8499,TP,25450,28849,69,945632,0.46810623896409653,0.6377007692500438,25519,54299
LapChol Case 0001 04,8567,TN,9963,1053,3894,985090,0.6682092555331992,0.8011096369557351,13857,11016
LapChol Case 0001 04,8654,TP,0,36624,6175,957201,0.0,0.0,6175,36624
LapChol Case 0001 04,8750,TP,6272,39080,2392,952256,0.13136729222520108,0.23222748815165878,8664,45352
LapChol Case 0001 04,8839,TP,6075,45550,5583,942792,0.1061914417563977,0.1919946905172005,11658,51625
LapChol Case 0001 04,8862,TN,0,44426,9120,946454,0.0,0.0,9120,44426
LapChol Case 0001 04,8877,TP,0,45250,10956,943794,0.0,0.0,10956,45250
LapChol Case 0001 04,8921,TP,6912,42363,1620,949105,0.13580901856763924,0.23914058851004202,8532,49275
LapChol Case 0001 04,9016,TP,0,40075,7992,951933,0.0,0.0,7992,40075
LapChol Case 0001 04,9144,TP,8468,38459,232,952841,0.1795627557836256,0.30445646898089057,8700,46927
LapChol Case 0001 04,9175,TP,5664,6162,96,988078,0.4750880724710619,0.6441487546912317,5760,11826
LapChol Case 0001 04,9190,TN,26112,20948,2176,950764,0.5303436509870826,0.6931039974518235,28288,47060
LapChol Case 0001 04,9220,TP,0,7866,17952,974182,0.0,0.0,17952,7866
LapChol Case 0001 04,9375,TN,10744,6256,3621,979379,0.5210222588623248,0.6850948509485095,14365,17000
LapChol Case 0001 04,9670,TP,7504,4322,7940,980234,0.3796418091672569,0.5503483681701503,15444,11826
LapChol Case 0001 04,9708,TP,8250,32261,1210,958279,0.19774214424390596,0.3301915110764243,9460,40511
LapChol Case 0001 04,9738,TP,0,8004,15478,976518,0.0,0.0,15478,8004
LapChol Case 0001 04,9746,TN,0,7245,11424,981331,0.0,0.0,11424,7245
LapChol Case 0001 04,9761,TP,12317,16031,226,971426,0.4310562049415553,0.602430852754885,12543,28348
LapChol Case 0001 04,9796,TN,0,23504,5733,970763,0.0,0.0,5733,23504
LapChol Case 0001 04,9801,TP,42,24710,8499,966749,0.0012631199061682355,0.002523052894001742,8541,24752
LapChol Case 0001 04,9828,TN,0,8625,12702,978673,0.0,0.0,12702,8625
LapChol Case 0001 04,9852,TP,12816,19313,432,967439,0.3935997051687602,0.5648676642351852,13248,32129
LapChol Case 0001 04,9886,TP,4814,20631,0,974555,0.1891923757123207,0.31818632472983244,4814,25445
LapChol Case 0001 04,10029,TN,7581,6837,26334,959248,0.18602767962308597,0.31369871516355285,33915,14418
LapChol Case 0001 05,164,TP,0,17869,4895,977236,0.0,0.0,4895,17869
LapChol Case 0001 05,317,TN,0,20988,15219,963793,0.0,0.0,15219,20988
LapChol Case 0001 05,347,TP,5368,7416,792,986424,0.3954036535061874,0.566722972972973,6160,12784
LapChol Case 0001 05,402,TP,4980,37394,83,957543,0.11729514567680241,0.2099626873537534,5063,42374
LapChol Case 0001 05,484,TP,19488,10839,1762,967911,0.6073109165134469,0.7556856738468697,21250,30327
LapChol Case 0001 05,555,TN,0,9375,11616,979009,0.0,0.0,11616,9375
LapChol Case 0001 05,583,TP,812,6318,18253,974617,0.031989914509711226,0.06199656422981485,19065,7130
LapChol Case 0001 05,620,TP,4400,5725,0,989875,0.4345679012345679,0.6058519793459552,4400,10125
LapChol Case 0001 05,644,TN,4070,5305,296,990329,0.4208458277323958,0.5923877447056255,4366,9375
LapChol Case 0001 05,657,TP,3160,34848,869,961123,0.0812819919232451,0.15034374479625093,4029,38008
LapChol Case 0001 05,691,TP,4674,6342,0,988984,0.42429193899782136,0.595793499043977,4674,11016
LapChol Case 0001 05,886,TP,0,14664,39780,945556,0.0,0.0,39780,14664
LapChol Case 0001 05,927,TN,0,29516,6018,964466,0.0,0.0,6018,29516
LapChol Case 0001 05,940,TP,0,29172,45500,925328,0.0,0.0,45500,29172
LapChol Case 0001 05,1040,TP,0,18656,7098,974246,0.0,0.0,7098,18656
LapChol Case 0001 05,1183,TN,130,16570,14882,968418,0.004116268760686467,0.008198789101917256,15012,16700
LapChol Case 0001 05,1195,TP,413,12304,12106,975177,0.016637795592797003,0.03273101917895071,12519,12717
LapChol Case 0001 05,1347,TP,0,32700,11070,956230,0.0,0.0,11070,32700
LapChol Case 0001 05,1469,TP,3200,42898,1616,952286,0.06706626985790334,0.12570216443414384,4816,46098
LapChol Case 0001 05,1532,TP,5440,3185,400,990975,0.602770083102493,0.7521603871413758,5840,8625
LapChol Case 0001 05,1677,TP,7475,35683,115,956727,0.17274050793797519,0.29459289036021125,7590,43158
LapChol Case 0001 05,1800,TP,0,45552,9944,944504,0.0,0.0,9944,45552
LapChol Case 0001 05,1839,TP,60,13467,24160,962313,0.0015920609228646484,0.0031790605875963653,24220,13527
LapChol Case 0001 05,1895,TP,99,15432,10307,974162,0.003831565910674201,0.007633882098932027,10406,15531
LapChol Case 0001 05,2447,TP,6461,10239,182,983118,0.38271531809027365,0.5535706635822302,6643,16700
LapChol Case 0001 05,2708,TN,10101,16024,0,973875,0.38664114832535884,0.557665764920223,10101,26125
LapChol Case 0001 05,2823,TP,12125,5875,2875,979125,0.5808383233532934,0.7348484848484849,15000,18000
LapChol Case 0001 05,2946,TN,0,13659,9261,977080,0.0,0.0,9261,13659
LapChol Case 0001 05,3001,TP,10857,1991,6755,980397,0.5538437994184564,0.7128693368351937,17612,12848
LapChol Case 0001 05,3180,TP,0,11865,19440,968695,0.0,0.0,19440,11865
LapChol Case 0001 05,3316,TP,0,38870,4950,956180,0.0,0.0,4950,38870
LapChol Case 0001 05,3701,TP,0,8625,15276,976099,0.0,0.0,15276,8625
LapChol Case 0001 05,4119,TP,0,8568,13440,977992,0.0,0.0,13440,8568
LapChol Case 0001 05,4389,TP,3045,10527,15159,971269,0.10598308447321708,0.19165407854984895,18204,13572
LapChol Case 0001 05,4806,TP,4752,3873,14044,977331,0.2096254797300278,0.34659567484774445,18796,8625
LapChol Case 0001 05,5185,TN,6556,9048,4994,979402,0.31828332847849305,0.4828754511305885,11550,15604
LapChol Case 0001 05,5484,TP,6720,7722,14736,970822,0.2303105079169237,0.374394116663881,21456,14442
LapChol Case 0001 05,5562,TP,3400,15539,16322,964739,0.09642381100933042,0.1758878456325496,19722,18939
LapChol Case 0001 05,5674,TN,3952,15870,22118,958060,0.09422985216976633,0.17223045410964874,26070,19822
LapChol Case 0001 05,5804,TN,0,12852,5166,981982,0.0,0.0,5166,12852
LapChol Case 0001 05,6676,TP,4029,12613,0,983358,0.24209830549212835,0.3898214890426201,4029,16642
LapChol Case 0001 05,6687,TN,0,14664,11832,973504,0.0,0.0,11832,14664
