video,pred_file,gt_file,evaluated_frames,tp,fp,fn,tn,precision,recall,f1,iou,dice,accuracy
LapChol Case 0001 03.mp4,pred_LapChol Case 0001 03.json,LapChol Case 0001 03.json,21,393197,568766,1471480,41112157,0.40874441116758087,0.21086601057448545,0.278208048683534,0.16158052602834744,0.2782080491325389,0.9531469080687831
LapChol Case 0001 04.mp4,pred_LapChol Case 0001 04.json,LapChol Case 0001 04.json,34,458062,1844751,300554,67899033,0.19891411069852385,0.6038127326605284,0.299247181253831,0.17594983726842964,0.2992471816266194,0.9695711777187727
LapChol Case 0001 05.mp4,pred_LapChol Case 0001 05.json,LapChol Case 0001 05.json,51,498745,1668609,1048900,102537346,0.230116999807138,0.3222605959376987,0.2685034365269513,0.15507015304139532,0.26850343701303814,0.9743033901446381
LapChol Case 0002 02.mp4,pred_LapChol Case 0002 02.json,LapChol Case 0002 02.json,13,117436,461729,482295,25895340,0.20276777774900034,0.19581445681480497,0.19923046597047658,0.11063629340719376,0.1992304664703246,0.964980116334283
LapChol Case 0002 03.mp4,pred_LapChol Case 0002 03.json,LapChol Case 0002 03.json,22,58524,1447920,438412,43674344,0.03884910424814993,0.11776969267672273,0.0584252609353476,0.030091688022146613,0.05842526130838879,0.9586504804994388
LapChol Case 0007 01.mp4,pred_LapChol Case 0007 01.json,LapChol Case 0007 01.json,30,254214,925877,366722,60661187,0.21541898040066385,0.40940451189816596,0.2822989323237713,0.164346950794957,0.2822989327755773,0.9792213380915638
LapChol Case 0007 02.mp4,pred_LapChol Case 0007 02.json,LapChol Case 0007 02.json,28,373762,976866,241919,56468253,0.27673200910983614,0.6070708694924797,0.3801660874024354,0.23469448625378075,0.3801660878325836,0.9790084704309965
LapChol Case 0007 03.mp4,pred_LapChol Case 0007 03.json,LapChol Case 0007 03.json,33,714159,535376,535600,66643665,0.571539812810365,0.5714373731255382,0.5714885878773572,0.4000588190809096,0.5714885883773575,0.9843490460157127
LapChol Case 0011 02.mp4,pred_LapChol Case 0011 02.json,LapChol Case 0011 02.json,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
LapChol Case 0011 03.mp4,pred_LapChol Case 0011 03.json,LapChol Case 0011 03.json,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
LapChol Case 0012 03.mp4,pred_LapChol Case 0012 03.json,LapChol Case 0012 03.json,34,513795,1487096,974144,67527365,0.25678310312755653,0.3453064944194619,0.29453713660261277,0.1727021698904382,0.29453713709180435,0.9650899827523602
LapChol Case 0012 04.mp4,pred_LapChol Case 0012 04.json,LapChol Case 0012 04.json,21,560610,936563,1122084,40926343,0.3744457053393293,0.333162179219751,0.3525996522544741,0.21403397986528233,0.3525996527527723,0.9527243395429159
LapChol Case 0015 01.mp4,pred_LapChol Case 0015 01.json,LapChol Case 0015 01.json,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
LapChol Case 0015 02.mp4,pred_LapChol Case 0015 02.json,LapChol Case 0015 02.json,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
LapChol Case 0016 01.mp4,pred_LapChol Case 0016 01.json,LapChol Case 0016 01.json,43,561076,1755156,1593207,85255361,0.24223652898327963,0.26044674724722783,0.2510117956807382,0.1435182899643657,0.2510117961800821,0.9624474792743325
LapChol Case 0018 10.mp4,pred_LapChol Case 0018 10.json,LapChol Case 0018 10.json,24,206208,936059,715928,47908205,0.18052521870981114,0.22361994326216497,0.1997749465484862,0.11097220689970638,0.19977494704280113,0.9668051737718621
LapChol Case 0018 11.mp4,pred_LapChol Case 0018 11.json,LapChol Case 0018 11.json,15,231843,413566,500852,29957739,0.3592187279693956,0.31642497901582467,0.3364666232111013,0.20226021822255125,0.33646662370909575,0.9706012731481481
LapChol Case 0019 02.mp4,pred_LapChol Case 0019 02.json,LapChol Case 0019 02.json,7,113030,244915,373836,13783419,0.31577476986687814,0.23215833514765824,0.2675864774339241,0.15445877933425414,0.2675864779222805,0.9573722029320987
LapChol Case 0019 03.mp4,pred_LapChol Case 0019 03.json,LapChol Case 0019 03.json,13,130571,1295245,670716,24860268,0.0915763324299909,0.16295160161090824,0.11725636352427982,0.0622795168401913,0.11725636398496159,0.9270699415360873
LapChol Case 0020 02.mp4,pred_LapChol Case 0020 02.json,LapChol Case 0020 02.json,27,267173,508143,522382,54689502,0.3445988474376895,0.3383842797525184,0.3414632894453464,0.20588226228290388,0.34146328994530517,0.9815935606710106
LapChol Case 0020 03.mp4,pred_LapChol Case 0020 03.json,LapChol Case 0020 03.json,41,697494,1557959,1704079,81058068,0.3092478539787793,0.29043214593102096,0.299544816299883,0.17615566688184356,0.2995448167993908,0.9616310269873533
LapChol Case 0023 03.mp4,pred_LapChol Case 0023 03.json,LapChol Case 0023 03.json,46,294744,1786545,764572,92539739,0.14161608503192005,0.27823992085458893,0.18769886649100265,0.10356935915000764,0.18769886693805807,0.9732546946289586
LapChol Case 0023 04.mp4,pred_LapChol Case 0023 04.json,LapChol Case 0023 04.json,36,363037,1680478,1196083,71410002,0.17765321027738962,0.2328473754425572,0.20153970586286063,0.1120623608237812,0.2015397063538215,0.9614658216520919
V10-Trimmed.mp4,pred_V10-Trimmed.json,V10 Trimmed.json,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
V11-Trimmed.mp4,pred_V11-Trimmed.json,V11 Trimmed.json,12,86680,1213604,608514,22974402,0.06666235991521847,0.1246846204081161,0.08687642714878427,0.04541077683442667,0.08687642760280992,0.9267731642232511
V12-Trimmed.mp4,pred_V12-Trimmed.json,V12 Trimmed.json,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
V14_Trimmed.mp4,pred_V14_Trimmed.json,V14 Trimmed.json,15,244901,281494,460502,30117103,0.465241881096894,0.3471788467018139,0.3976317540677183,0.24815254276788737,0.3976317545571592,0.9761446759259259
V15_Trimmed.mp4,pred_V15_Trimmed.json,V15 Trimmed.json,4,35725,58331,121823,8078521,0.3798269116271117,0.22675629014649362,0.2839779967019941,0.16548622144812528,0.28397799717015515,0.9782800443672839
V17_Trimmed.mp4,pred_V17_Trimmed.json,V17 Trimmed.json,10,140352,654471,206127,19735050,0.17658271086770239,0.4050808274094522,0.24595067696141004,0.14021879214745978,0.24595067738425042,0.9584973958333334
V18_Trimmed.mp4,pred_V18_Trimmed.json,V18 Trimmed.json,12,230278,620624,295052,23737246,0.27062810993510383,0.4383492281042384,0.33464997133506064,0.20094872918110135,0.33464997180707884,0.9632010352366255
V2_Trimmed.mp4,pred_V2_Trimmed.json,V2 Trimmed.json,15,631844,282704,374136,29815316,0.690881178461928,0.6280880335593146,0.6579898856157843,0.49030173417222495,0.6579898861146515,0.9788824588477366
V4_Trimmed.mp4,pred_V4_Trimmed.json,V4 Trimmed.json,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
V5_Trimmed.mp4,pred_V5_Trimmed.json,V5 Trimmed.json,8,320235,282585,315000,15670980,0.5312282273315408,0.5041205223263823,0.5173195046919529,0.3489082826698041,0.5173195051916106,0.9639765986689813
V7-Trimmed.mp4,pred_V7-Trimmed.json,V7 Trimmed.json,14,83967,691321,749907,27505205,0.10830426886524736,0.10069506903920723,0.1043611514542882,0.05505328826805749,0.1043611519536255,0.9503545249118166
__GLOBAL__,,,629,8581662,25116753,18154826,1252441159,0.25466070140094127,0.32097192421083875,0.28399688124234346,0.16549904759087286,0.28399688173570825,0.9668237638680347
