Video,Type,Samples,TP,TN,FP,FN,Accuracy,Precision,Recall,Specificity,F1_Score
LapChol_Case_0001_03,safe,32,20,3,0,9,0.71875,1.0,0.6896551724137931,1.0,0.8163265306122449
LapChol_Case_0001_04,safe,29,13,4,5,7,0.5862068965517241,0.7222222222222222,0.65,0.4444444444444444,0.6842105263157895
LapChol_Case_0001_05,safe,34,16,4,3,11,0.5882352941176471,0.8421052631578947,0.5925925925925926,0.5714285714285714,0.6956521739130435
LapChol_Case_0002_02,safe,18,12,2,1,3,0.7777777777777778,0.9230769230769231,0.8,0.6666666666666666,0.8571428571428571
LapChol_Case_0002_03,safe,32,19,4,4,5,0.71875,0.8260869565217391,0.7916666666666666,0.5,0.8085106382978724
LapChol_Case_0007_01,safe,30,15,3,1,11,0.6,0.9375,0.5769230769230769,0.75,0.7142857142857143
LapChol_Case_0007_02,safe,28,15,2,0,11,0.6071428571428571,1.0,0.5769230769230769,1.0,0.7317073170731707
LapChol_Case_0007_03,safe,8,6,0,1,1,0.75,0.8571428571428571,0.8571428571428571,0.0,0.8571428571428571
LapChol_Case_0011_02,safe,63,42,7,6,8,0.7777777777777778,0.875,0.84,0.5384615384615384,0.8571428571428572
LapChol_Case_0011_03,safe,81,51,5,1,24,0.691358024691358,0.9807692307692307,0.68,0.8333333333333334,0.8031496062992126
LapChol_Case_0012_03,safe,33,24,2,0,7,0.7878787878787878,1.0,0.7741935483870968,1.0,0.8727272727272727
LapChol_Case_0012_04,safe,32,23,2,2,5,0.78125,0.92,0.8214285714285714,0.5,0.8679245283018867
LapChol_Case_0015_01,safe,37,23,2,1,11,0.6756756756756757,0.9583333333333334,0.6764705882352942,0.6666666666666666,0.7931034482758621
LapChol_Case_0015_02,safe,14,5,1,3,5,0.42857142857142855,0.625,0.5,0.25,0.5555555555555556
LapChol_Case_0016_01,safe,30,21,3,0,6,0.8,1.0,0.7777777777777778,1.0,0.8750000000000001
LapChol_Case_0018_10,safe,32,20,2,0,10,0.6875,1.0,0.6666666666666666,1.0,0.8
LapChol_Case_0018_11,safe,19,8,4,5,2,0.631578947368421,0.6153846153846154,0.8,0.4444444444444444,0.6956521739130435
LapChol_Case_0019_02,safe,5,3,1,0,1,0.8,1.0,0.75,1.0,0.8571428571428571
LapChol_Case_0019_03,safe,10,3,2,2,3,0.5,0.6,0.5,0.5,0.5454545454545454
LapChol_Case_0020_02,safe,37,29,1,0,7,0.8108108108108109,1.0,0.8055555555555556,1.0,0.8923076923076924
LapChol_Case_0020_03,safe,53,41,5,1,6,0.8679245283018868,0.9761904761904762,0.8723404255319149,0.8333333333333334,0.9213483146067415
LapChol_Case_0023_03,safe,32,21,3,2,6,0.75,0.9130434782608695,0.7777777777777778,0.6,0.84
LapChol_Case_0023_04,safe,50,27,5,5,13,0.64,0.84375,0.675,0.5,0.75
V10-Trimmed,bdi,166,71,24,20,51,0.572289156626506,0.7802197802197802,0.5819672131147541,0.5454545454545454,0.6666666666666667
V12-Trimmed,bdi,25,15,1,5,4,0.64,0.75,0.7894736842105263,0.16666666666666666,0.7692307692307692
V14-Trimmed,bdi,18,9,2,0,7,0.6111111111111112,1.0,0.5625,1.0,0.72
V15-Trimmed,bdi,10,7,1,0,2,0.8,1.0,0.7777777777777778,1.0,0.8750000000000001
V17-Trimmed,bdi,1,1,0,0,0,1.0,1.0,1.0,0.0,1.0
V18-Trimmed,bdi,12,7,0,0,5,0.5833333333333334,1.0,0.5833333333333334,0.0,0.7368421052631579
V2-Trimmed,bdi,53,37,5,4,7,0.7924528301886793,0.9024390243902439,0.8409090909090909,0.5555555555555556,0.8705882352941177
V4-Trimmed,bdi,56,33,8,1,14,0.7321428571428571,0.9705882352941176,0.7021276595744681,0.8888888888888888,0.8148148148148149
V5-Trimmed,bdi,16,11,1,2,2,0.75,0.8461538461538461,0.8461538461538461,0.3333333333333333,0.8461538461538461
V7-_Trimmed,bdi,358,166,42,26,124,0.5810055865921788,0.8645833333333334,0.5724137931034483,0.6176470588235294,0.6887966804979253
